Image file-/home/jovyan/data/cifar10/0_cat.png;  Answer: Elephant
Image file-/home/jovyan/data/cifar10/1000_dog.png;  Answer: dog
Image file-/home/jovyan/data/cifar10/1001_airplane.png;  Answer: Plane
Image file-/home/jovyan/data/cifar10/1002_ship.png;  Answer: Boat
Image file-/home/jovyan/data/cifar10/1003_deer.png;  Answer: deer
Image file-/home/jovyan/data/cifar10/1004_ship.png;  Answer: Ship
Image file-/home/jovyan/data/cifar10/1005_automobile.png;  Answer: Truck
Image file-/home/jovyan/data/cifar10/1006_automobile.png;  Answer: Car
Image file-/home/jovyan/data/cifar10/1007_ship.png;  Answer: Plane
Image file-/home/jovyan/data/cifar10/1008_truck.png;  Answer: Truck
Image file-/home/jovyan/data/cifar10/1009_frog.png;  Answer: Frog
Image file-/home/jovyan/data/cifar10/100_deer.png;  Answer: Deer
Image file-/home/jovyan/data/cifar10/1010_airplane.png;  Answer: Plane
Image file-/home/jovyan/data/cifar10/1011_ship.png;  Answer: Boat
Image file-/home/jovyan/data/cifar10/1012_frog.png;  Answer: Frog
Image file-/home/jovyan/data/cifar10/1013_automobile.png;  Answer: Car
Image file-/home/jovyan/data/cifar10/1014_cat.png;  Answer: cat 
Image file-/home/jovyan/data/cifar10/1015_deer.png;  Answer: Deer
Image file-/home/jovyan/data/cifar10/1016_automobile.png;  Answer: Car
Image file-/home/jovyan/data/cifar10/1017_frog.png;  Answer: Mouse
Image file-/home/jovyan/data/cifar10/1018_airplane.png;  Answer: Airplane
Image file-/home/jovyan/data/cifar10/1019_dog.png;  Answer: Dog
Image file-/home/jovyan/data/cifar10/101_dog.png;  Answer: Tree
Image file-/home/jovyan/data/cifar10/1020_automobile.png;  Answer: Truck
Image file-/home/jovyan/data/cifar10/1021_automobile.png;  Answer: Car
Image file-/home/jovyan/data/cifar10/1022_airplane.png;  Answer: plane
Image file-/home/jovyan/data/cifar10/1023_airplane.png;  Answer: Plane
Image file-/home/jovyan/data/cifar10/1024_cat.png;  Answer: Hand
Image file-/home/jovyan/data/cifar10/1025_dog.png;  Answer: Dogs
Image file-/home/jovyan/data/cifar10/1026_airplane.png;  Answer: Plane
Image file-/home/jovyan/data/cifar10/1027_airplane.png;  Answer: Plane
Image file-/home/jovyan/data/cifar10/1028_frog.png;  Answer: Pipe
Image file-/home/jovyan/data/cifar10/1029_frog.png;  Answer: FROG
Image file-/home/jovyan/data/cifar10/102_frog.png;  Answer: Frog
Image file-/home/jovyan/data/cifar10/1030_cat.png;  Answer: Dog
Image file-/home/jovyan/data/cifar10/1031_cat.png;  Answer: Cat
Image file-/home/jovyan/data/cifar10/1032_frog.png;  Answer: frog
Image file-/home/jovyan/data/cifar10/1033_cat.png;  Answer: Cat
Image file-/home/jovyan/data/cifar10/1034_frog.png;  Answer: squirrel
Image file-/home/jovyan/data/cifar10/1035_frog.png;  Answer: Frog
Image file-/home/jovyan/data/cifar10/1036_airplane.png;  Answer: Planes
Image file-/home/jovyan/data/cifar10/1037_horse.png;  Answer: Horse
Image file-/home/jovyan/data/cifar10/1038_bird.png;  Answer: Bird
Image file-/home/jovyan/data/cifar10/1039_bird.png;  Answer: Bird
Image file-/home/jovyan/data/cifar10/103_cat.png;  Answer: Cat
Image file-/home/jovyan/data/cifar10/1040_horse.png;  Answer: Horse
Image file-/home/jovyan/data/cifar10/1041_dog.png;  Answer: Dog
Image file-/home/jovyan/data/cifar10/1042_dog.png;  Answer: Dog
Image file-/home/jovyan/data/cifar10/1043_bird.png;  Answer: Person
Image file-/home/jovyan/data/cifar10/1044_ship.png;  Answer: Ship
Image file-/home/jovyan/data/cifar10/1045_dog.png;  Answer: Dog
Image file-/home/jovyan/data/cifar10/1046_bird.png;  Answer: Bird
Image file-/home/jovyan/data/cifar10/1047_automobile.png;  Answer: Car
Image file-/home/jovyan/data/cifar10/1048_automobile.png;  Answer: Car
Image file-/home/jovyan/data/cifar10/1049_deer.png;  Answer: Deer
Image file-/home/jovyan/data/cifar10/104_automobile.png;  Answer: Car
Image file-/home/jovyan/data/cifar10/1050_cat.png;  Answer: Cat
Image file-/home/jovyan/data/cifar10/1051_bird.png;  Answer: Parrot
Image file-/home/jovyan/data/cifar10/1052_airplane.png;  Answer: Airplane
Image file-/home/jovyan/data/cifar10/1053_cat.png;  Answer: Cat
Image file-/home/jovyan/data/cifar10/1054_automobile.png;  Answer: Car
Image file-/home/jovyan/data/cifar10/1055_dog.png;  Answer: Dog
Image file-/home/jovyan/data/cifar10/1056_cat.png;  Answer: Cat
Image file-/home/jovyan/data/cifar10/1057_horse.png;  Answer: Man
Image file-/home/jovyan/data/cifar10/1058_frog.png;  Answer: Frog
Image file-/home/jovyan/data/cifar10/1059_ship.png;  Answer: Boat
Image file-/home/jovyan/data/cifar10/105_automobile.png;  Answer: Car
Image file-/home/jovyan/data/cifar10/1060_truck.png;  Answer: Truck
Image file-/home/jovyan/data/cifar10/1061_automobile.png;  Answer: Truck
Image file-/home/jovyan/data/cifar10/1062_frog.png;  Answer: bird
Image file-/home/jovyan/data/cifar10/1063_deer.png;  Answer: deer
Image file-/home/jovyan/data/cifar10/1064_truck.png;  Answer: Truck
Image file-/home/jovyan/data/cifar10/1065_cat.png;  Answer: Cat
Image file-/home/jovyan/data/cifar10/1066_truck.png;  Answer: Truck
Image file-/home/jovyan/data/cifar10/1067_airplane.png;  Answer: Plane
Image file-/home/jovyan/data/cifar10/1068_truck.png;  Answer: Bus
Image file-/home/jovyan/data/cifar10/1069_frog.png;  Answer: frog
Image file-/home/jovyan/data/cifar10/106_cat.png;  Answer: Cat
Image file-/home/jovyan/data/cifar10/1070_cat.png;  Answer: Cat
Image file-/home/jovyan/data/cifar10/1071_frog.png;  Answer: frog
Image file-/home/jovyan/data/cifar10/1072_airplane.png;  Answer: Plane
Image file-/home/jovyan/data/cifar10/1073_horse.png;  Answer: Horse
