Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/002_applauding.jpg; Answer: Cheerful
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/003_applauding.jpg; Answer: Playful
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/004_applauding.jpg; Answer: Celebratory
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/005_applauding.jpg; Answer: Anticipatory
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/006_applauding.jpg; Answer: Lighthearted and Playful
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/007_applauding.jpg; Answer: Joyful
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/008_applauding.jpg; Answer: Celebratory
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/009_applauding.jpg; Answer: Happy
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/010_applauding.jpg; Answer: Celebratory
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/011_applauding.jpg; Answer: Joyful
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/012_applauding.jpg; Answer: Anticipation
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/013_applauding.jpg; Answer: Energetic and Enthusiastic
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/014_applauding.jpg; Answer: Cheerful
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/015_applauding.jpg; Answer: Excitement
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/016_applauding.jpg; Answer: Frustrated
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/017_applauding.jpg; Answer: Celebratory
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/018_applauding.jpg; Answer: Excited
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/019_applauding.jpg; Answer: Celebratory
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/020_applauding.jpg; Answer: Energetic
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/021_applauding.jpg; Answer: Devotion
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/022_applauding.jpg; Answer: Confident
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/023_applauding.jpg; Answer: Casual and Friendly
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/024_applauding.jpg; Answer: Cheerful
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/025_applauding.jpg; Answer: Joyful
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/026_applauding.jpg; Answer: Excitement
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/027_applauding.jpg; Answer: Joyful
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/028_applauding.jpg; Answer: Happy
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/029_applauding.jpg; Answer: Celebratory
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/030_applauding.jpg; Answer: Cheerful
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/031_applauding.jpg; Answer: Playful and Energetic
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/032_applauding.jpg; Answer: Cheerful
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/033_applauding.jpg; Answer: Excited
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/034_applauding.jpg; Answer: Excited
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/035_applauding.jpg; Answer: Confidence
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/036_applauding.jpg; Answer: Cheerful and Relaxed
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/037_applauding.jpg; Answer: Cheerful
Image file-/home/jovyan/data/stanford-40-actions/JPEGImages/038_applauding.jpg; Answer: Serious
