Image file-/home/jovyan/data/stl10/test/0_7.png; Sure! Here\s my answer:\n\nHorse
Image file-/home/jovyan/data/stl10/test/19_7.png; Horse
Image file-/home/jovyan/data/stl10/test/25_7.png; Horse
Image file-/home/jovyan/data/stl10/test/31_7.png; Horse
Image file-/home/jovyan/data/stl10/test/43_7.png; Horse
Image file-/home/jovyan/data/stl10/test/56_7.png; Horse
Image file-/home/jovyan/data/stl10/test/65_7.png; Sure! Here\s my answer:\n\nHorse
Image file-/home/jovyan/data/stl10/test/93_7.png; Horse
Image file-/home/jovyan/data/stl10/test/130_7.png; Answer: Horses
Image file-/home/jovyan/data/stl10/test/148_7.png; Horse
Image file-/home/jovyan/data/stl10/test/160_7.png; Sure! Here\s my answer:\n\nHorse
Image file-/home/jovyan/data/stl10/test/169_7.png; Sure! Here\s my answer:\n\nHorse
Image file-/home/jovyan/data/stl10/test/170_7.png; Answer: Horse
Image file-/home/jovyan/data/stl10/test/188_7.png; Answer: Horse
Image file-/home/jovyan/data/stl10/test/190_7.png; Horse
Image file-/home/jovyan/data/stl10/test/195_7.png; Answer: Horse
Image file-/home/jovyan/data/stl10/test/218_7.png; Sure! Here\s my answer:\n\nHorse
Image file-/home/jovyan/data/stl10/test/234_7.png; Horse
Image file-/home/jovyan/data/stl10/test/236_7.png; Foal
Image file-/home/jovyan/data/stl10/test/247_7.png; Horse
Image file-/home/jovyan/data/stl10/test/253_7.png; Sure! Here\s my answer:\n\nHorse
Image file-/home/jovyan/data/stl10/test/255_7.png; Horse
Image file-/home/jovyan/data/stl10/test/262_7.png; Horse
Image file-/home/jovyan/data/stl10/test/308_7.png; Carriage
Image file-/home/jovyan/data/stl10/test/327_7.png; Horse
Image file-/home/jovyan/data/stl10/test/333_7.png; Horse
Image file-/home/jovyan/data/stl10/test/340_7.png; Sure! Here\s my answer:\n\nHorse
Image file-/home/jovyan/data/stl10/test/350_7.png; Cow
Image file-/home/jovyan/data/stl10/test/355_7.png; Answer: Horse
Image file-/home/jovyan/data/stl10/test/360_7.png; Sure! Here\s my answer:\n\nHorse
Image file-/home/jovyan/data/stl10/test/383_7.png; Answer: Horse
